id,title,category,tags,venue,startDate,endDate,match_status,match_score,place_name,place_type,address_full,district,lat,lon,osm_type,osm_id,osm_url,source_provider,source_url,raw_title,raw_date_text,scraped_at
kassir:krs:teatr:golodrantsyi-aristokratyi-1,Голодранцы-аристократы,theatre,theatre,Красноярский драмтеатр им. А.С. Пушкина,2026-05-29T19:00:00+07:00,2026-05-29T21:30:00+07:00,fuzzy,0.8617,Красноярский драматический театр имени А. С. Пушкина,theatre,"660049, проспект Мира, 73",Центральный район,56.0113314,92.8655873,way,66007532,https://www.openstreetmap.org/way/66007532,kassir,https://krs.kassir.ru/teatr/golodrantsyi-aristokratyi-1,Голодранцы-аристократы,29 мая 19:00 пт,2026-04-23T08:07:39Z
kassir:krs:teatr:irlandskiy-geroy_2026-06-05,Ирландский герой - гордость Запада,theatre,theatre,Красноярский драмтеатр им. А.С. Пушкина,2026-06-05T19:00:00+07:00,2026-06-05T21:30:00+07:00,fuzzy,0.8617,Красноярский драматический театр имени А. С. Пушкина,theatre,"660049, проспект Мира, 73",Центральный район,56.0113314,92.8655873,way,66007532,https://www.openstreetmap.org/way/66007532,kassir,https://krs.kassir.ru/teatr/teatr-imeni-as-pushkina/irlandskiy-geroy_2026-06-05,Ирландский герой - гордость Запада,5 июня 19:00 пт,2026-04-23T08:07:39Z
kassir:krs:teatr:pokrovskie-vorota-8,Покровские ворота,theatre,theatre,Красноярский драмтеатр им. А.С. Пушкина,2026-05-26T19:00:00+07:00,2026-05-26T21:30:00+07:00,fuzzy,0.8617,Красноярский драматический театр имени А. С. Пушкина,theatre,"660049, проспект Мира, 73",Центральный район,56.0113314,92.8655873,way,66007532,https://www.openstreetmap.org/way/66007532,kassir,https://krs.kassir.ru/teatr/pokrovskie-vorota-8,Покровские ворота,26 мая 19:00 вт,2026-04-23T08:07:39Z
kassir:krs:teatr:temnyie-allei-2,Темные аллеи,theatre,theatre,Красноярский драмтеатр им. А.С. Пушкина,2026-05-17T18:00:00+07:00,2026-05-17T20:30:00+07:00,fuzzy,0.8617,Красноярский драматический театр имени А. С. Пушкина,theatre,"660049, проспект Мира, 73",Центральный район,56.0113314,92.8655873,way,66007532,https://www.openstreetmap.org/way/66007532,kassir,https://krs.kassir.ru/teatr/temnyie-allei-2,Темные аллеи,17 мая 18:00 вс,2026-04-23T08:07:39Z
kassir:krs:teatr:gore-ot-uma-13,Горе от ума,theatre,theatre,Красноярский драмтеатр им. А.С. Пушкина,,,fuzzy,0.8617,Красноярский драматический театр имени А. С. Пушкина,theatre,"660049, проспект Мира, 73",Центральный район,56.0113314,92.8655873,way,66007532,https://www.openstreetmap.org/way/66007532,kassir,https://krs.kassir.ru/teatr/gore-ot-uma-13,Горе от ума,май – июнь,2026-04-23T08:07:39Z
kassir:krs:teatr:posledniy-poklon,Последний поклон,theatre,theatre,Красноярский государственный театр оперы и балета,2026-05-02T00:00:00+07:00,,exact,1.16,Красноярский государственный театр оперы и балета,theatre,"660049, улица Перенсона, 2",Центральный район,56.0086563,92.868386,way,172602508,https://www.openstreetmap.org/way/172602508,kassir,https://krs.kassir.ru/teatr/posledniy-poklon,Последний поклон,"1 , 2 мая",2026-04-23T08:07:39Z
kassir:krs:teatr:nochnoy-gost_2026-06-11,Ночной гость,theatre,theatre,Красноярская краевая филармония,2026-06-11T19:00:00+07:00,2026-06-11T21:30:00+07:00,exact,1.08,Красноярская краевая филармония,arts_centre,"проспект Мира, 2Б",Центральный район,56.0124777,92.894712,way,60219525,https://www.openstreetmap.org/way/60219525,kassir,https://krs.kassir.ru/teatr/krasnoyarskaya-kraevaya-filarmoniya-2017/nochnoy-gost_2026-06-11,Ночной гость,11 июня 19:00 чт,2026-04-23T08:07:39Z
kassir:krs:teatr:orfey-i-evridika-4,Орфей и Эвридика,theatre,theatre,Красноярский государственный театр оперы и балета,2026-06-10T19:00:00+07:00,2026-06-10T21:30:00+07:00,exact,1.16,Красноярский государственный театр оперы и балета,theatre,"660049, улица Перенсона, 2",Центральный район,56.0086563,92.868386,way,172602508,https://www.openstreetmap.org/way/172602508,kassir,https://krs.kassir.ru/teatr/orfey-i-evridika-4,Орфей и Эвридика,10 июня 19:00 ср,2026-04-23T08:07:39Z
kassir:krs:teatr:la-traviata,La Traviata,theatre,theatre,Красноярский государственный театр оперы и балета,2026-05-20T19:00:00+07:00,2026-05-20T21:30:00+07:00,exact,1.16,Красноярский государственный театр оперы и балета,theatre,"660049, улица Перенсона, 2",Центральный район,56.0086563,92.868386,way,172602508,https://www.openstreetmap.org/way/172602508,kassir,https://krs.kassir.ru/teatr/la-traviata,La Traviata,20 мая 19:00 ср,2026-04-23T08:07:39Z
kassir:krs:teatr:lebedinoe-ozero,Лебединое озеро,theatre,theatre,Красноярский государственный театр оперы и балета,,,exact,1.16,Красноярский государственный театр оперы и балета,theatre,"660049, улица Перенсона, 2",Центральный район,56.0086563,92.868386,way,172602508,https://www.openstreetmap.org/way/172602508,kassir,https://krs.kassir.ru/teatr/lebedinoe-ozero,Лебединое озеро,апрель – июнь,2026-04-23T08:07:39Z
kassir:krs:teatr:lyubovnyiy-napitok,Любовный напиток,theatre,theatre,Красноярский государственный театр оперы и балета,2026-05-27T19:00:00+07:00,2026-05-27T21:30:00+07:00,exact,1.16,Красноярский государственный театр оперы и балета,theatre,"660049, улица Перенсона, 2",Центральный район,56.0086563,92.868386,way,172602508,https://www.openstreetmap.org/way/172602508,kassir,https://krs.kassir.ru/teatr/lyubovnyiy-napitok,Любовный напиток,27 мая 19:00 ср,2026-04-23T08:07:39Z
kassir:krs:teatr:bespridannitsa-21,Бесприданница,theatre,theatre,Красноярский драмтеатр им. А.С. Пушкина,,,fuzzy,0.8617,Красноярский драматический театр имени А. С. Пушкина,theatre,"660049, проспект Мира, 73",Центральный район,56.0113314,92.8655873,way,66007532,https://www.openstreetmap.org/way/66007532,kassir,https://krs.kassir.ru/teatr/bespridannitsa-21,Бесприданница,май – июнь,2026-04-23T08:07:39Z
kassir:krs:teatr:turandot-16,Турандот,theatre,theatre,Красноярский государственный театр оперы и балета,2026-06-24T00:00:00+07:00,,exact,1.16,Красноярский государственный театр оперы и балета,theatre,"660049, улица Перенсона, 2",Центральный район,56.0086563,92.868386,way,172602508,https://www.openstreetmap.org/way/172602508,kassir,https://krs.kassir.ru/teatr/turandot-16,Турандот,"23 , 24 июня",2026-04-23T08:07:39Z
kassir:krs:teatr:slujebnyiy-roman-26,Служебный роман,theatre,theatre,Красноярский драмтеатр им. А.С. Пушкина,2026-06-24T00:00:00+07:00,,fuzzy,0.8617,Красноярский драматический театр имени А. С. Пушкина,theatre,"660049, проспект Мира, 73",Центральный район,56.0113314,92.8655873,way,66007532,https://www.openstreetmap.org/way/66007532,kassir,https://krs.kassir.ru/teatr/slujebnyiy-roman-26,Служебный роман,"11 , 24 июня",2026-04-23T08:07:39Z
kassir:krs:teatr:tea,Тэа,theatre,theatre,Красноярский государственный театр оперы и балета,2026-07-03T00:00:00+07:00,,exact,1.16,Красноярский государственный театр оперы и балета,theatre,"660049, улица Перенсона, 2",Центральный район,56.0086563,92.868386,way,172602508,https://www.openstreetmap.org/way/172602508,kassir,https://krs.kassir.ru/teatr/tea,Тэа,"2 , 3 июля",2026-04-23T08:07:39Z
kassir:krs:teatr:kulisyi,Кулисы,theatre,theatre,Красноярский драмтеатр им. А.С. Пушкина,2026-06-14T00:00:00+07:00,,fuzzy,0.8617,Красноярский драматический театр имени А. С. Пушкина,theatre,"660049, проспект Мира, 73",Центральный район,56.0113314,92.8655873,way,66007532,https://www.openstreetmap.org/way/66007532,kassir,https://krs.kassir.ru/teatr/kulisyi,Кулисы,14 июня,2026-04-23T08:07:39Z
